"Förskrivning till människor by varugrupp, kön, åldersgrupp, period and mätvärde"

"varugrupp";"kön";"åldersgrupp";"period";"mätvärde";"Förskrivning till människor"
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020";"AUP exkl moms";90093883
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020";"Förpackningar";433794
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021";"AUP exkl moms";95124938
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2021";"Förpackningar";476922
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022";"AUP exkl moms";100717125
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2022";"Förpackningar";504619
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023";"AUP exkl moms";108289819
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2023";"Förpackningar";528664
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024";"AUP exkl moms";122160135
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2024";"Förpackningar";546561
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-01";"AUP exkl moms";7067225
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-01";"Förpackningar";35354
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-02";"AUP exkl moms";7578650
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-02";"Förpackningar";36270
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-03";"AUP exkl moms";9968552
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-03";"Förpackningar";44538
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-04";"AUP exkl moms";6527445
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-04";"Förpackningar";32255
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-05";"AUP exkl moms";6369898
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-05";"Förpackningar";33104
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-06";"AUP exkl moms";7067818
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-06";"Förpackningar";34429
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-07";"AUP exkl moms";7164935
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-07";"Förpackningar";33933
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-08";"AUP exkl moms";6904840
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-08";"Förpackningar";32592
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-09";"AUP exkl moms";7760541
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-09";"Förpackningar";35385
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-10";"AUP exkl moms";7533643
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-10";"Förpackningar";37125
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-11";"AUP exkl moms";8120480
"A - matsmältningsorgan och ämnesomsättning";"Kvinna";"0-14";"2020-11";"Förpackningar";38434
